,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,label
5501,-0.07100000000000001,0.5165,0.8380000000000001,6.061,-1.8291999999999997,5.8904,squat
8000,0.19599999999999998,-0.908,0.4146666666666667,10.9632,-17.2562,3.9391999999999996,rest
7912,-0.0645,0.8345,-0.149,18.7926,16.2438,-15.6344,bench
3514,-0.3433333333333333,0.8506666666666667,-0.18533333333333335,2.0244,-8.5854,-2.4876,ohp
7074,0.37399999999999994,-0.9756666666666667,0.3993333333333333,-5.0242,-37.061,30.0002,rest
6939,0.1885,-0.955,0.49,-42.317,97.3538,-39.6708,rest
4639,0.002333333333333333,-0.9756666666666667,0.08433333333333333,-25.5122,-2.866,0.3412,dead
4401,0.41133333333333333,0.444,0.8076666666666666,10.6218,2.9268,0.1342,squat
1298,-0.253,1.0115,-0.1125,-39.268,-12.0,34.4512,ohp
2358,-0.209,0.8216666666666667,-0.40199999999999997,7.0,-8.0,13.3656,bench
740,-0.24,0.764,-0.1345,-59.061,5.7926,43.561,ohp
5725,0.11699999999999999,-1.1006666666666667,-0.076,-0.4880000000000001,-4.8658,0.9146000000000001,dead
7865,-0.09933333333333333,0.968,-0.19566666666666666,-3.0,1.9148,0.6463999999999999,bench
7767,0.289,0.8099999999999999,0.418,6.9756,-31.2802,3.122,rest
6822,-0.042499999999999996,0.7475,-0.1755,24.7316,3.6706000000000003,-16.7928,bench
3968,0.356,0.594,0.6565000000000001,17.728749999999998,-3.3382500000000004,-2.5305,squat
5316,0.138,-1.2309999999999999,0.015,30.5854,-1.3536000000000001,-12.6342,row
5786,0.0895,-1.186,-0.058499999999999996,11.1952,-1.5854000000000001,2.8781999999999996,dead
5318,0.07,-0.493,0.196,-2.829,-2.5124000000000004,5.0488,row
5041,0.022,-0.745,0.058499999999999996,93.8416,-24.2928,4.6952,dead
4169,0.379,0.621,0.6795,0.2318,-5.354,-2.3904,squat
4381,0.5386666666666667,0.5876666666666667,0.9199999999999999,-6.6218,3.7804,3.7683999999999997,squat
4024,0.5660000000000001,0.527,0.7044999999999999,-6.439,-0.8901999999999999,1.5368,squat
7657,0.8153333333333332,-0.35799999999999993,0.6333333333333333,-4.3658,23.877999999999997,-15.9876,rest
435,-0.39649999999999996,0.9475,-0.3505,30.4758,-1.6219999999999999,-12.816999999999998,ohp
5825,0.06533333333333334,-1.0683333333333334,-0.03266666666666667,-1.439,-13.7316,1.8171999999999997,dead
6009,0.12466666666666666,0.7993333333333333,0.5123333333333333,-2.3413999999999997,-2.4756,2.5854,squat
308,-0.09133333333333334,0.9636666666666667,-0.11699999999999999,-16.5368,8.9758,28.329200000000004,bench
8972,0.0009999999999999992,-0.365,0.22299999999999998,-15.487799999999998,9.3414,-6.8536,row
2816,-0.128,1.044,0.23049999999999998,-14.6584,-34.2318,34.6098,ohp
4132,0.262,0.6625000000000001,0.6,-5.5976,-1.939,0.5853999999999999,squat
87,-0.028,0.867,-0.125,9.524600000000001,-2.8289999999999997,-11.1828,bench
4936,-0.009333333333333332,-1.0913333333333333,-0.043333333333333335,-1.6951999999999998,-0.13399999999999998,-0.9146000000000001,dead
3063,-0.05333333333333334,-1.2943333333333333,-0.06999999999999999,14.365800000000002,0.3048,-1.9878,row
401,-0.158,0.9475,-0.135,1.9146,7.6706,4.4512,ohp
8728,0.2585,-0.9635,0.269,46.8782,-2.8293999999999997,-47.4026,rest
1020,-0.369,0.9935,-0.2475,-33.195,-16.7194,32.7196,ohp
881,-0.455,1.339,-0.16599999999999998,-68.8902,-30.877999999999997,30.4512,ohp
5751,0.17466666666666666,-1.1223333333333334,-0.010333333333333333,7.073,-21.9266,5.1584,dead
6520,-0.07133333333333333,0.9819999999999999,-0.16533333333333333,-33.6586,5.7438,20.1344,bench
8288,-0.018666666666666668,-1.0203333333333333,-0.081,3.2438000000000002,-5.0,0.9024000000000001,row
6673,0.8383333333333334,-0.19533333333333333,0.08566666666666667,110.5124,13.89,65.13419999999999,rest
8917,-0.025666666666666667,-1.155,-0.13366666666666668,15.865800000000002,-4.0608,-2.2438000000000002,row
5168,0.0395,-1.127,-0.0925,3.5122,2.6342,4.634,dead
7322,0.07733333333333334,-0.786,0.16066666666666665,-16.5002,6.0122,1.0974,row
5862,0.065,-1.045,-0.1155,11.8048,-63.2318,17.8902,dead
257,-0.1475,0.8745,-0.183,-1.1342000000000003,-12.5974,5.9879999999999995,bench
4482,0.09466666666666666,-1.0216666666666667,-0.19999999999999998,-2.305,-2.8655999999999997,1.0244,dead
288,-0.18233333333333335,0.9476666666666667,-0.218,-2.7439999999999998,-8.7192,14.9756,bench
7211,-0.0255,-0.312,0.22999999999999998,-4.3538,0.805,4.6952,row
6823,-0.081,0.887,-0.21633333333333335,11.0732,-3.6098,1.7440000000000002,bench
5457,0.2575,0.606,0.7929999999999999,12.5612,-2.8292,3.317,squat
6050,0.121,0.8525,0.5865,13.4148,-1.6705999999999999,2.7072000000000003,squat
6146,0.11533333333333333,0.8076666666666666,0.53,0.5732000000000002,-0.7318,0.4878,squat
5669,0.09566666666666668,-0.9526666666666666,0.15766666666666665,-18.0488,1.0,4.6339999999999995,dead
2439,-0.14200000000000002,0.904,-0.20850000000000002,16.9392,-6.3294,-2.2316000000000003,bench
5663,0.12,-1.0436666666666667,-0.18933333333333335,3.7927999999999997,-16.695,-0.7437999999999999,dead
2826,-0.2375,0.8075,0.067,21.0608,-14.2804,-35.9634,ohp
737,-0.34,1.0223333333333333,-0.27399999999999997,64.7074,-1.1098,-33.9514,ohp
6407,0.010499999999999999,0.9390000000000001,-0.07150000000000001,2.6464,-4.5244,-0.5488000000000001,bench
2388,-0.21233333333333335,0.924,-0.3276666666666667,-27.280399999999997,6.451400000000001,19.6464,bench
5282,0.03,-0.8380000000000001,0.081,101.5608,-17.7072,-33.1708,dead
1817,0.1215,0.821,0.813,4.8904,10.0244,-0.4756,squat
5517,-0.0155,0.4775,0.86,-7.7682,-2.6098,5.6218,squat
543,-0.20366666666666666,1.3780000000000001,0.051333333333333335,4.3904,2.817,-8.1952,ohp
4299,0.042499999999999996,0.6759999999999999,0.8240000000000001,4.8294,-4.4754,-2.1584,squat
4823,0.11549999999999999,-1.0405,-0.001,-5.8658,-6.8536,1.3414000000000001,dead
4129,0.23633333333333337,0.6576666666666666,0.5883333333333334,9.3048,3.5366,8.7072,squat
3395,-0.158,0.75,-0.3825,23.232,-8.1342,-16.1706,bench
7490,-0.14333333333333334,0.9926666666666666,-0.206,-9.8414,5.9146,5.6096,bench
2592,-0.08,0.9855,-0.095,0.8294000000000004,-2.5485999999999995,-2.0366,ohp
1839,0.106,0.802,0.4465,-3.5856000000000003,-5.3168,3.6340000000000003,squat
4994,-0.051666666666666666,-1.179,-0.08033333333333333,-2.7562,-0.8172,-2.061,dead
2859,-0.16466666666666666,0.789,0.034,-12.9756,-9.8048,-52.3292,ohp
2138,-0.09133333333333334,0.9636666666666667,-0.11699999999999999,-16.5368,8.9758,28.329200000000004,bench
