,label,participant,category
0,bench,B,heavy
1,bench,B,heavy
2,bench,B,heavy
3,bench,B,heavy
4,bench,B,heavy
5,bench,B,heavy
6,bench,B,heavy
7,bench,B,heavy
8,bench,B,heavy
9,bench,B,heavy
10,bench,B,heavy
11,bench,B,heavy
12,bench,B,heavy
13,bench,B,heavy
14,bench,B,heavy
15,bench,B,heavy
16,bench,B,heavy
17,bench,B,heavy
18,bench,B,heavy
19,bench,B,heavy
20,bench,B,heavy
21,bench,B,heavy
22,bench,B,heavy
23,bench,B,heavy
24,bench,B,heavy
25,bench,B,heavy
26,bench,B,heavy
27,bench,B,heavy
28,bench,B,heavy
29,bench,B,heavy
30,bench,B,heavy
31,bench,B,heavy
32,bench,B,heavy
33,bench,B,heavy
34,bench,B,heavy
35,bench,B,heavy
36,bench,B,heavy
37,bench,B,heavy
38,bench,B,heavy
39,bench,B,heavy
40,bench,B,heavy
41,bench,B,heavy
42,bench,B,heavy
43,bench,B,heavy
44,bench,B,heavy
45,bench,B,heavy
46,bench,B,heavy
47,bench,B,heavy
48,bench,B,heavy
49,bench,B,heavy
50,bench,B,heavy
51,bench,B,heavy
52,bench,B,heavy
53,bench,B,heavy
54,bench,B,heavy
55,bench,B,heavy
56,bench,B,heavy
57,bench,B,heavy
58,bench,B,heavy
59,bench,B,heavy
60,bench,B,heavy
61,bench,B,heavy
62,bench,B,heavy
63,bench,B,heavy
64,bench,B,heavy
65,bench,B,heavy
66,bench,B,heavy
67,bench,B,heavy
68,bench,B,heavy
69,bench,B,heavy
70,bench,B,heavy
71,bench,B,heavy
72,bench,B,heavy
73,bench,B,heavy
74,bench,B,heavy
75,bench,B,heavy
76,bench,B,heavy
77,bench,B,heavy
78,bench,B,heavy
79,bench,B,heavy
80,bench,B,heavy
81,bench,B,heavy
82,bench,B,heavy
83,bench,B,heavy
84,bench,B,heavy
85,bench,A,heavy
86,bench,A,heavy
87,bench,A,heavy
88,bench,A,heavy
89,bench,A,heavy
90,bench,A,heavy
91,bench,A,heavy
92,bench,A,heavy
93,bench,A,heavy
94,bench,A,heavy
95,bench,A,heavy
96,bench,A,heavy
97,bench,A,heavy
98,bench,A,heavy
99,bench,A,heavy
100,bench,A,heavy
101,bench,A,heavy
102,bench,A,heavy
103,bench,A,heavy
104,bench,A,heavy
105,bench,A,heavy
106,bench,A,heavy
107,bench,A,heavy
108,bench,A,heavy
109,bench,A,heavy
110,bench,A,heavy
111,bench,A,heavy
112,bench,A,heavy
113,bench,A,heavy
114,bench,A,heavy
115,bench,A,heavy
116,bench,A,heavy
117,bench,A,heavy
118,bench,A,heavy
119,bench,A,heavy
120,bench,A,heavy
121,bench,A,heavy
122,bench,A,heavy
123,bench,A,heavy
124,bench,A,heavy
125,bench,A,heavy
126,bench,A,heavy
127,bench,A,heavy
128,bench,A,heavy
129,bench,A,heavy
130,bench,A,heavy
131,bench,A,heavy
132,bench,A,heavy
133,bench,A,heavy
134,bench,A,heavy
135,bench,A,heavy
136,bench,A,heavy
137,bench,A,heavy
138,bench,A,heavy
139,bench,A,heavy
140,bench,A,heavy
141,bench,A,heavy
142,bench,A,heavy
143,bench,A,heavy
144,bench,A,heavy
145,bench,A,heavy
146,bench,A,heavy
147,bench,A,heavy
148,bench,A,heavy
149,bench,A,heavy
150,bench,A,heavy
151,bench,A,heavy
152,bench,A,heavy
153,bench,A,heavy
154,bench,A,heavy
155,bench,A,heavy
156,bench,A,heavy
157,bench,A,heavy
158,bench,A,heavy
159,bench,A,heavy
160,bench,A,heavy
161,bench,A,heavy
162,bench,A,heavy
163,bench,A,heavy
164,bench,A,heavy
165,bench,A,heavy
166,bench,A,heavy
167,bench,A,heavy
168,bench,B,heavy
169,bench,B,heavy
170,bench,B,heavy
171,bench,B,heavy
172,bench,B,heavy
173,bench,B,heavy
174,bench,B,heavy
175,bench,B,heavy
176,bench,B,heavy
177,bench,B,heavy
178,bench,B,heavy
179,bench,B,heavy
180,bench,B,heavy
181,bench,B,heavy
182,bench,B,heavy
183,bench,B,heavy
184,bench,B,heavy
185,bench,B,heavy
186,bench,B,heavy
187,bench,B,heavy
188,bench,B,heavy
189,bench,B,heavy
190,bench,B,heavy
191,bench,B,heavy
192,bench,B,heavy
193,bench,B,heavy
194,bench,B,heavy
195,bench,B,heavy
196,bench,B,heavy
197,bench,B,heavy
198,bench,B,heavy
199,bench,B,heavy
200,bench,B,heavy
201,bench,B,heavy
202,bench,B,heavy
203,bench,B,heavy
204,bench,B,heavy
205,bench,B,heavy
206,bench,B,heavy
207,bench,B,heavy
208,bench,B,heavy
209,bench,B,heavy
210,bench,B,heavy
211,bench,B,heavy
212,bench,B,heavy
213,bench,B,heavy
214,bench,B,heavy
215,bench,B,heavy
216,bench,B,heavy
217,bench,B,heavy
218,bench,B,heavy
219,bench,B,heavy
220,bench,B,heavy
221,bench,B,heavy
222,bench,B,heavy
223,bench,B,heavy
224,bench,B,heavy
225,bench,B,heavy
226,bench,B,heavy
227,bench,B,heavy
228,bench,B,heavy
229,bench,B,heavy
230,bench,B,heavy
231,bench,B,heavy
232,bench,B,heavy
233,bench,B,heavy
234,bench,B,heavy
235,bench,B,heavy
236,bench,B,heavy
237,bench,B,heavy
238,bench,B,heavy
239,bench,B,heavy
240,bench,A,heavy
241,bench,A,heavy
242,bench,A,heavy
243,bench,A,heavy
244,bench,A,heavy
245,bench,A,heavy
246,bench,A,heavy
247,bench,A,heavy
248,bench,A,heavy
249,bench,A,heavy
250,bench,A,heavy
